printer_id,cartridges
400000026603,"400000015579,400000023401,400000026129,400000030272,400000030518,400000030274,400000026130,400000030363,400000013848"
400000026255,"400000030416,400000026253"
400000028950,"400000028961,400000030198"
400000026420,"400000030270,400000026727,200000001808,400000012250"
400000026936,"400000026924,400000030462"
400000026750,"400000012991,400000007100,400000023775"
400000033519,
400000033426,
400000027273,"400000017384,400000018695,400000030307"
400000026744,"400000014790,400000030441,400000030440"
400000031030,"400000032292,400000032294,400000032293,400000031351,400000032291,400000031353,400000031354,400000031352"
400000026399,"200000000393,400000030364,400000012992,400000014970"
400000032385,
400000029007,"400000029014,400000029015,400000029013,400000029012,400000030575"
400000030102,400000030101
400000028833,"400000030396,400000028823,400000030062,400000024342,400000030397"
400000026153,"400000022274,400000004752,200000005507"
400000026549,"400000015223,400000026131,400000007076,400000023293"
400000026732,"400000021697,400000023563,200000002469,400000026133,400000015225"
400000026422,"400000026427,400000030517"
400000032357,
400000026363,"400000026364,400000030491"
400000026210,"400000020131,400000030409"
400000026233,"400000024268,400000030427"
400000028794,"400000019120,400000030395,400000020133,400000030394,400000021216"
400000033492,
400000033202,
400000033515,"400000032171,400000031502"
400000029054,400000030553
400000032639,"400000031938,400000032575,400000031939,400000031936,400000031937,400000032555"
400000026747,"400000014790,400000030440"
400000026600,"400000015579,400000003115,400000026129,400000030274"
400000026867,"400000030451,400000014980,400000030450"
400000026555,"400000015223,400000030202,400000026131,400000023293"
400000026674,"400000026132,400000012655,200000001110"
400000028031,"400000022364,400000030591,400000022365,400000022367,400000022366"
400000033453,
400000026914,"400000026917,400000030459"
400000029746,400000029747
400000028824,"400000030396,400000028823,400000030062,400000024342,400000030397"
400000026383,"400000030490,400000026378"
400000033386,
400000028032,"400000022364,400000030591,400000022365,400000022367,400000022366"
400000026586,"400000030211,400000026587"
400000028769,"400000028646,400000028649,400000028648,400000028647,400000030582"
400000026267,"400000030419,400000019127,400000026266,400000021985,400000030418"
400000026530,"200000000728,400000018130,400000017383,400000015428"
400000030119,400000030117
400000033454,
400000028850,"400000023563,400000026133,400000030442,400000015225,400000017386"
400000032640,"400000031938,400000032575,400000031939,400000031936,400000031937,400000032555"
400000027247,"400000020452,400000022692,400000022693,400000030588,400000022694"
400000026392,"400000005340,200000001172,200000000410,400000006296,400000018339"
400000032669,
400000033482,
400000026252,"400000030416,400000030489,400000026253"
400000032680,"400000031111,400000031114,400000031928,400000031112,400000031113"
400000033390,
400000028727,"400000020487,400000018143,400000018145,400000032753,400000032754,400000030570,400000032755,400000018144,400000032752"
400000026256,"400000030416,400000026253"
400000032393,"400000032292,400000032294,400000032293,400000031351,400000032291,400000031353,400000031354,400000031352"
400000026230,"400000019124,400000030519,400000018133,400000019123"
400000026403,"400000012992,200000000724"
400000026950,"400000030533,400000026930"
400000026720,"400000021697,400000030438,400000026133,400000015225,400000017386"
400000028829,"400000030273,400000026498,400000027258,400000030392"
400000026478,"400000030513,400000013234,400000011518,400000013499,400000012388"
400000028921,"400000030499,400000030498,400000028905"
400000026241,"400000026246,400000030414"
400000033284,
400000033481,
400000027213,"400000027203,400000027202,400000030159,400000029970"
400000027239,"400000030431,400000027209"
400000033281,
400000033436,
400000033266,
400000029775,400000029776
400000029721,400000029728
400000028992,"400000029019,400000029017,400000029016,400000029018,400000030578"
400000029804,400000030606
400000033458,
400000026457,"400000030374,400000026456,400000030375"
400000028728,"400000020487,400000018143,400000018145,400000032753,400000032754,400000030570,400000032755,400000018144,400000032752"
400000028890,"400000019120,400000030395,400000020133,400000030363,400000030394,400000021216"
400000033282,
400000032653,
400000026756,"400000012991,400000007100,400000023775"
400000026657,"400000026658,400000030474"
400000030701,"400000031399,400000024050,400000024114,400000024115,400000031458,400000033198,400000024116,400000031401,400000033199,400000033201,400000033200,400000031400"
400000029739,400000029744
400000026285,"400000030412,400000026284,400000024088,400000024269,400000024360,400000030411"
400000028971,"400000027203,400000027202,400000030159,400000029970"
400000033276,
400000033758,400000033642
400000026947,"400000030532,400000026928"
400000028990,"400000027203,400000027202,400000030159,400000029970"
400000028468,"400000030362,400000020142,400000028349"
400000029725,400000029728
400000033418,
400000026659,"400000030435,400000026132,400000012655"
400000028796,"400000015579,400000014981,400000026129,400000030514"
400000033768,"400000033711,400000033710,400000033712,400000033709"
400000033616,400000033513
400000033205,
400000029797,400000029798
400000033533,
400000027058,"400000015579,400000026129,400000030363,400000006930"
400000029552,400000029778
400000029055,400000030598
400000029752,400000029753
400000033821,
400000028865,"400000014788,400000030275,400000030446"
400000026454,"400000026217,400000030393"
400000033747,400000033642
400000027263,"400000018136,400000023774,400000016460"
400000033446,
