printer_id,parts
400000029488,"400000032568,400000030895,400000031615,400000030906,400000030886,400000030661,400000031918,400000032569,400000031222,400000032571,400000030896,400000030662,400000031611,400000021871,400000030664,400000030728,400000030898,400000030888,400000031427,400000024540,400000031919,400000030945,400000030907,400000030946,400000032570,400000030894,400000030887,400000031920,400000016173"
400000033479,
400000026583,
400000031017,"400000032568,400000031615,400000030906,400000030886,400000033724,400000031918,400000032569,400000031222,400000032571,400000030896,400000031611,400000021871,400000030664,400000030728,400000030898,400000030888,400000031427,400000031919,400000030945,400000030907,400000030946,400000032570,400000030894,400000030897,400000030887,400000031920,400000016173"
400000029767,
400000033447,"400000033730,400000031931,400000031871,400000033724"
400000026774,400000022273
400000026395,
400000033813,"400000032686,400000032687"
400000026953,"400000030639,400000018141,400000013495,400000033110,400000016877"
400000028978,400000023565
400000029500,"400000021723,400000009229"
400000026286,
400000027181,
400000026468,"400000016407,400000021558,400000009229,400000030633,400000009931,400000033096,400000002831,400000021698,400000015958"
400000033669,400000030950
400000026226,"400000030646,400000030645,400000030643,400000024601,400000030644"
400000028733,"400000015427,400000022933,400000030612"
400000033517,400000030896
400000026271,"400000030648,400000033383,400000024153,400000024174,400000030649,400000030650,400000024601,400000030647"
400000028712,"400000002802,400000022933"
400000033525,
400000028069,"400000030642,400000023678"
400000027266,400000023678
400000028766,"400000029033,400000026157,400000022933,400000016908,400000016907"
400000027096,"400000017602,400000014883,400000012999,400000030021,400000030165,400000009850"
400000028787,"400000017602,400000030017,400000030165,400000009850"
400000026471,"400000016407,400000021558,400000009229,400000030633,400000009931,400000033096,400000002831,400000021698,400000015958"
400000026229,"400000030646,400000030645,400000022503,400000030643,400000024601,400000030644"
400000033661,400000033573
400000028896,400000023607
400000027122,"400000021214,400000013502,400000002831,400000015958,400000030165"
400000026382,
400000026863,"400000013639,400000021245,400000021434"
400000026375,400000024601
400000028912,400000023607
400000029006,"400000022452,400000015503"
400000026345,"400000026704,400000030655,400000030656"
400000028743,"400000016907,400000029033,400000026157,400000022933,400000016908,400000015427"
400000026898,"400000015222,400000010567,400000021215"
400000029805,
400000030158,"400000029975,400000033101"
400000033655,400000033573
400000033765,400000033714
400000033538,
400000031016,"400000030907,400000032570,400000030664,400000030728,400000030897,400000030887,400000030886"
400000029528,"400000033246,400000022458,400000022460,400000022459,400000022461,400000033704,400000033245"
400000028982,400000023565
400000029790,
400000026957,400000022448
