printer_id,name,cartridges,parts,availability,in_transit,wholesale_price,retail_price,description,char_Тип товара,char_Происхождение товара,char_Название модели,char_Артикул,char_Артикул Восточноевропейский,char_Артикул Азиатский,char_Альтернативные артикулы,"char_Ресурс, стр A4",char_Бренд,char_Цвет тонера,char_Назначение,char_Используется в принтерах,"char_Вес тонера в картридже, г",char_Страна-производитель,char_Принтеры для наименования,char_Ключевые слова,char_Вес в упаковке,char_Гарантия,char_Поставщик,char_Для использования с картриджами,char_Модель запчасти,char_Цветность,char_Категория товара,char_Совместимые картриджи,"char_Для использования с принтерами/МФУ, совместимость",char_Особенности,char_Производитель,char_Тип,char_Количество страниц,char_Цвет,char_Для использования с принтерами,char_Совместимый картридж,char_Для использования с принтерами/МФУ,char_Сайт производителя,char_Наличие чипа,char_Модель заправляемых оригинальных картриджей,char_Ресурс,char_Модель заменяемых оригинальных картриджей,char_Наименование производителя,char_Номер запчасти (Part number),char_Группа товара,char_Подгруппа товара,"char_Вес тонера с девелопером в картридже, г",char_Наименование картриджа,"char_Для использования с принтерами, совместимость",char_Масса тонера,"char_Ресурс, стр","char_Масса тонера, г","char_Вес тонер, г",char_Регион использования,char_Совместимые принтеры,char_Заводской номер запчасти,char_Совместимость,"char_Количество отпечатков, стр",char_Продукт IG,char_Технология печати,char_Влажность при эксплуатации,char_Температура хранения,char_Размеры упаковки,char_Вес,char_Тип запчасти,"char_Ресурс отпечатков, л",char_Продукт Kyocera,char_Вес картриджа
400000019120,"Картридж совместимый для ч/б лазерных принтеров HP, RTC CF283A, черный (black), с чипом, 1500стр A4, Булат 7Q",,,0,0,478.83,520.47,"Черный тонер-картридж для принтеров HP LJ Pro MFP M125, заменяющий оригинальные картриджи CF283A.Тонеры компании Булат для картриджей лазерных принтеров производятся из современного сырья. Это полимеры, применение которых позволяет использовать тонеры в тонер-картриджах для новых скоростных принтеров и копиров. Это магнетиты и зарядорегуляторы, позволяющие получать стабильные результаты качества печати. Все это, плюс технологические приемы, направленные на улучшение структуры и формы частиц тонера, позволяют получить продукт стабильного качества. Все стадии производства тонеров проходят жесткий технологический контроль, готовый продукт всесторонне тестируется. Более 20 параметров подлежат проверке. Компания Булат проводит исследование тонеров во взаимодействии с другими расходными материалами: фотобарабанами, валами первичного заряда и т. д. для наиболее эффективного использования формулировок в дальнейшем.",,,,,,,,,,,,,,,,,,,,,,,,,,,Булат,,,black (черный),,,,http://www.bulatgroup.ru,,,1500,CF283A,,,,,,RTC CF283A с чипом,LJ Pro MFP M125,,,,,,,,,,,,,,,,,,,
400000030898,"Ролик лотка ручной подачи (Bypass/manual feed roller) оригинал. для Konica Minolta C224/C754, A00F623200",,,0,0,919.0,918.99,"Konica Minolta bizhub 223, 224e, 227, 283, 284e, 287, 300i, 308, 308e, 36, 360i, 363, 364e, 367, 368, 368e, 42, 423, 450i, 454e, 458, 458e, 550i, 554e, 558, 558e, 650i, 658e, 750i;bizhub C224, C224e, C227, C227i, C250i, C257i, C258, C284, C284e, C287, C287i, C300i, C308, C360i, C364, C364e, C368, C450i, C454, C454e, C458, C550i, C554, C554e, C558, C650i, C658, C750i",Ролик лотка ручной подачи,оригинальный,,,,,A00F623201,нет данных,Konica Minolta,,,"Konica Minolta Bizhub C224, C284, C364, C454, C258, C308, C368, C224e, C284e, C364e, 554e, 558, 558e, 654, 654e, 658e, 754, 754e, 758, 808, C554, C554e, C654, C654e, C659, C754, C754e, C759",,,C224/C754,"Konica Minolta Bizhub C224, C284, C364, C454, C258, C308, C368, C224e, C284e, C364e, 554e, 558, 558e, 654, 654e, 658e, 754, 754e, 758, 808, C554, C554e, C654, C654e, C659, C754, C754e, C759","21, грамм",Гарантия на данный товар не предоставляется,,,не предусмотрено,не предусмотрено,,,,,,,,,,,,,,,,,Bypass/manual feed roller,A00F623200,Подача и вывод материала,Ролики подачи и захвата,,,,,,,,,,,,,,,,,,,,,,
400000026587,"Картридж HP C8543X с чипом, black (черный), для лазерных принтеров HP LJ9000, 9040, M9040, 9050, M9050, 30000стр,",,,2,0,5504.0,5770.4,,,,,,,,,,,,,,,,,,"1522, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000031949,"Чип тонер-картриджа совместим. 006R01739 для Xerox C9065/C9070, голубой (cyan)",,,0,0,180.0,195.0,"Xerox PrimeLink C9065, C9070",Чип тонер-картриджа,совместимый,,,,,не предусмотрено,34000,Xerox,,,"Xerox PrimeLink C9065, C9070",,,C9065/C9070,Xerox PrimeLink Prime Link C9065 C9070,"1, грамм",Гарантия на данный товар не предоставляется,ZHN,,006R01739,голубой (cyan),,,,,,,,,,,,,,,,,не предусмотрено,не предусмотрено,Прочее,Чипы,,,,,,,,,,,,,,,,,,,,,,
400000030389,"Картридж для лазерного принтера оригинальный  HP CC364A, черный (black)",,,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,"0, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000030367,Картридж лазерный HP Q2613X,,,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,"0, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000029787,"Картридж для лазерного принтера оригинальный  Kyocera TK-590K, черный (black)",,,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,"0, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000030324,"Картридж для лазерного принтера оригинальный  Canon 737, черный (black)",,,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,"0, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000030531,"Картридж для лазерного принтера оригинальный  Samsung SCX-6320D8, черный (black)",,,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,"0, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000025992,"Картридж совместимый для ч/б лазерных принтеров Samsung, RTC MLT-D115L, черный (black), с чипом, 3000стр A4, Булат 7Q",,,1,0,1416.52,1536.75,"Черный тонер-картридж для принтеров Samsung SL-M2620, SL-M2670, SL-M2820, SL-M2830, SL-M2870, SL-M2880 заменяющий оригинальные картриджи MLT-D115L. Тонеры компании Булат для картриджей лазерных принтеров производятся из современного сырья. Это полимеры, применение которых позволяет использовать тонеры в тонер-картриджах для новых скоростных принтеров и копиров. Это магнетиты и зарядорегуляторы, позволяющие получать стабильные результаты качества печати. Все это, плюс технологические приемы, направленные на улучшение структуры и формы частиц тонера, позволяют получить продукт стабильного качества. Все стадии производства тонеров проходят жесткий технологический контроль, готовый продукт всесторонне тестируется. Более 20 параметров подлежат проверке. Компания Булат проводит исследование тонеров во взаимодействии с другими расходными материалами: фотобарабанами, валами первичного заряда и т. д. для наиболее эффективного использования формулировок в дальнейшем.",,,,,,,,,,,,,,,,,,,,,,,,,,,Булат,,,black (черный),"Samsung SL-M2620, SL-M2670, SL-M2820, SL-M2830, SL-M2870, SL-M2880",,,http://www.bulatgroup.ru,,,3000,MLT-D115L,,,,,,"RTC MLT-D115L с чипом (для принтеров, выпущенных до 01.07.2017)",,,,,,,,,,,,,,,,,,,,
400000031942,"Чип тонер-картриджа совместим. 006R01531 для Xerox C550/C570, пурпурный (magenta)",,,0,0,200.0,200.0,"Xerox Color C550, C560, C570",Чип тонер-картриджа,совместимый,,,,,не предусмотрено,34000,Xerox,,,"Xerox Color C550, C560, C570",,,C550/C570,Xerox Color Colour C550 C560 C570,"1, грамм",Гарантия на данный товар не предоставляется,ZHN,,006R01531,пурпурный (magenta),,,,,,,,,,,,,,,,,не предусмотрено,не предусмотрено,Прочее,Чипы,,,,,,,,,,,,,,,,,,,,,,
400000029745,"Картридж для лазерного принтера оригинальный  Xerox 108R00909, черный (black)",,,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,"0, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000033701,"Шестерня печки (Fusing Gear /2) оригинал. для Konica Minolta C1060/C7000, A03U809500",,,0,0,1890.0,1890.0,"AccurioPress C2060, C2070, C2070P, C3070, C3070P, C3080, C3080P, C4070, C4080, C7090, C7100, C83hc;AccurioPrint C2060L, C3070L, C4065, C4065P;bizhub PRESS C1060, C1070, C1070P, C6000, C7000, C7000P, C70hc, C71cf, C71hc;bizhub PRO C1060L, C5500, C5501, C6000L, C6500, C6501, C65hc;AccurioLabel 190;",Шестерня печки,оригинальный,,,,,A03U 8095 00,1800000,Konica Minolta,,,"AccurioPress C2060, C2070, C2070P, C3070, C3070P, C3080, C3080P, C4070, C4080, C7090, C7100, C83hc; AccurioPrint C2060L, C3070L, C4065, C4065P; bizhub PRESS C1060, C1070, C1070P, C6000, C7000, C7000P, C70hc, C71cf, C71hc; bizhub PRO C1060L, C5500, C5501, C6000L, C6500, C6501, C65hc; AccurioLabel 190 230",,,C1060/C7000,Запчасть для печки/узла закрепления Зубчатая передача Зубчатая передача фьюзера Зубчатое колесо Зубчатое колесо печки Шестерня вала фьюзера Шестерня для печки Шестерня нагрева Шестерня нагревательного вала Шестерня нагревательного модуля Шестерня нагревательного ролика Шестерня привода печки/печи Шестерня привода термоблока Шестерня привода термозакрепления Шестерня привода узла закрепления Шестерня привода фьюзера Шестерня прижимного вала Шестерня принтера/МФУ Шестерня термобарабана Шестерня термоблока Шестерня термоблока печки Шестерня термовала Шестерня термоузла Шестерня термофиксации Шестерня узла нагрева Шестерня узла фиксации Шестерня фиксации Шестерня фьюзера Шестерня фьюзерного вала Шестерня фьюзерного механизма Шестерня фьюзинга Fixing drive Gear Fuser Gear Fusing Drive Gear Fusing Gear Gear в печке Gear для термоузла Gear фьюзера Gear Fuser третий третья №3 Коника Минолта Минольта Акку Аку Акурио Акуриопресс Аккуриопресс Акуриопрес Аккуриопрес Акурио пресс Аккурио пресс Акурио прес Аккурио прес Акуриопринт Аккуриопринт Акурио принт Аккурио принт бицхаб бизхаб Пресс Прес ПроC 2060 C 2070 C 2070P C 3070 C 3070P C 3080 C 3080P C 4070 C 4080 C 7090 C 7100 C83hc C 2060L C 3070L C 4065 C 4065P C 1060 C 1070 C 1070P C 6000 C 7000 C 7000P C70hc C71cf C71hc C 1060L C 5500 C 5501 C 6000L C 6500 C 6501 C65hc 190 С2060 С2070 С2070Р С3070 С3070Р С3080 С3080Р С4070 С4080 С7090 С7100 С83hc С2060L С3070L С4065 С4065Р С1060 С1070 С1070Р С6000 С7000 С7000Р С70hc С71cf С71hc С1060L С5500 С5501 С6000L С6500 С6501 С65hc,"16, грамм",Гарантия на данный товар не предоставляется,,,не предусмотрено,не предусмотрено,,,,,,,,,,,,,,,,,Fusing Gear /2,A03U809500,Закрепление изображения,"Подшипники, шестерни, втулки",,,,,,,,,,,,,,,,,,,,,,
400000030165,"Чип тонер-картриджа  совместим. для лазерных принтеров HP CB435A/CB436A/CE278A/CE285A/CE505A/CF280A/CE255A/CC364A/CF283A/CE390A/Canon 712/713/720/725/726/728 Universal, черный (black), Булат",,,9,0,47.59,50.19,"HP LJ P1005, P1006, P1007, P1008, P1009, M1120, M1522, P1505, M401, M425, M125, M126, M127, M128, M201, M225, P1102, P1109, M1132, M1136, M1212, M1214, M1217, M1536, P1560, P1566, P1600, P1606, P4014, P4015, P4515, M525, P3010, P3015, M521, M4555, M601, M602, M603, P2035, P2055, Canon LBP3250, LBP3010, LBP3100, MF6640, MF6680, F158200, LBP6000, LBP6020, LBP6030, MF3010, LBP6200, LBP6230, FAX-L150, FAX-L170, FAX-L410, MF4410, MF4430, MF4450, MF4550, MF4570, MF4580, MF4730, MF4750, MF4780, MF4870, MF4890, PC D520, PC D550, LBP6700, LBP6750, LBP6780, LBP6300, LBP6310, LBP6650, LBP6670, LBP6680, MF5840, MF5880, MF5940, MF5980, MF6140, MF6180",Чип тонер-картриджа,совместимый,,,,,,нет данных,Булат,,,,,,,"HP LJ P1005, P1006, P1007, P1008, P1009, M1120, M1522, P1505, M401, M425, M125, M126, M127, M128, M201, M225, P1102, P1109, M1132, M1136, M1212, M1214, M1217, M1536, P1560, P1566, P1600, P1606, P4014, P4015, P4515, M525, P3010, P3015, M521, M4555, M601, M602, M603, P2035, P2055, Canon LBP3250, LBP3010, LBP3100, MF6640, MF6680, F158200, LBP6000, LBP6020, LBP6030, MF3010, LBP6200, LBP6230, FAX-L150, FAX-L170, FAX-L410, MF4410, MF4430, MF4450, MF4550, MF4570, MF4580, MF4730, MF4750, MF4780, MF4870, MF4890, PC D520, PC D550, LBP6700, LBP6750, LBP6780, LBP6300, LBP6310, LBP6650, LBP6670, LBP6680, MF5840, MF5880, MF5940, MF5980, MF6140, MF6180","5, грамм",Гарантия на данный товар не предоставляется,Булат,"HP CB435A, CB436A, CE278A, CE285A, 
 CE505A, CF280A, CE255A, CC364A, CF283A, CE390A, Canon 712, 713, 720, 725, 726, 728",HP CB435A/CB436A/CE278A/CE285A/CE505A/CF280A/CE255A/CC364A/CF283A/CE390A/Canon 712/713/720/725/726/728 Universal,черный (black),Чипы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000031609,"Блок девелопера (Developer Unit) оригинал. DV-711K для Konica Minolta C654/С754, черный (black), A2X203D",,,2,0,19990.0,19990.01,"Konica Minolta Bizhub 654, 654E, 754, 754E, C654, C654E, C754, C754E",Блок девелопера,оригинальный,,,,,не предусмотрено,1200000,Konica Minolta,,,"Konica Minolta Bizhub 654, 654E, 754, 754E, C654, C654E, C754, C754E",,,C654/С754,Konica Minolta Bizhub 654 654e 754 754e C654 C654e C754 C754E C 654 C 654e C 754 C 754e Минолта Минольта бизхаб бицхаб носитель носителя проявка проявки проявления проявитель узел юнит,"2605, грамм",Гарантия на данный товар не предоставляется,,,DV-711K,черный (black),,,,,,,,,,,,,,,,,Developer Unit,A2X203D,Формирование изображения,Блок девелопера,,,,,,,,,,,,,,,,,,,,,,
400000031549,"Картридж оригинал. Konica Minolta TN-615C A1DY430/A1DY450, для цветных лазерных принтеров C8000, голубой (cyan), 60000стр A4",,,12,0,7690.0,7690.0,Konica Minolta Bizhub PRESS C8000,Картридж,оригинальный,TN-615C,A1DY450,A1DY430,A1DY450,не предусмотрено,60000,Konica Minolta,голубой (cyan),для цветных лазерных принтеров,Konica Minolta Bizhub Press C8000,1469,Япония,C8000,Konica Minolta Bizhub PRESS C8000,"1997, грамм",10 месяцев,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000019129,"Картридж совместимый для ч/б лазерных принтеров Xerox, RTC PH3140, черный (black), с чипом, 2500стр A4, Булат 7Q",,,0,0,916.43,996.12,"Черный тонер-картридж для принтеров Xerox Phaser 3140, 3160, заменяющий оригинальные картриджи 108R00909.Тонеры компании Булат для картриджей лазерных принтеров производятся из современного сырья. Это полимеры, применение которых позволяет использовать тонеры в тонер-картриджах для новых скоростных принтеров и копиров. Это магнетиты и зарядорегуляторы, позволяющие получать стабильные результаты качества печати. Все это, плюс технологические приемы, направленные на улучшение структуры и формы частиц тонера, позволяют получить продукт стабильного качества. Все стадии производства тонеров проходят жесткий технологический контроль, готовый продукт всесторонне тестируется. Более 20 параметров подлежат проверке. Компания Булат проводит исследование тонеров во взаимодействии с другими расходными материалами: фотобарабанами, валами первичного заряда и т. д. для наиболее эффективного использования формулировок в дальнейшем.",,,,,,,,,,,,,,,,,,,,,,,,,,,Булат http://www.bulatgroup.ru,,,black (черный),,,,,,,2500,108R00909,,,,,,RTC PH3140 с чипом,"Xerox Phaser 3140, 3160",,,,,,,,,,,,,,,,,,,
400000019124,"Картридж RTC TK1140 NC без чипа, black (черный), для лазерных принтеров Kyocera FS1035mfp, FS1135mfp, M2035dn, M2535dn, заменяет ориг. картриджи TK1140, 7200стр, произв. Булат",,,0,0,1081.77,1175.77,"Черный тонер-картридж для принтеров Kyocera FS1035mfp, FS1135mfp, M2035dn, M2535dn, заменяющий оригинальный картридж TK1140.Тонеры компании Булат для картриджей лазерных принтеров производятся из современного сырья. Это полимеры, применение которых позволяет использовать тонеры в тонер-картриджах для новых скоростных принтеров и копиров. Это магнетиты и зарядорегуляторы, позволяющие получать стабильные результаты качества печати. Все это, плюс технологические приемы, направленные на улучшение структуры и формы частиц тонера, позволяют получить продукт стабильного качества. Все стадии производства тонеров проходят жесткий технологический контроль, готовый продукт всесторонне тестируется. Более 20 параметров подлежат проверке. Компания Булат проводит исследование тонеров во взаимодействии с другими расходными материалами: фотобарабанами, валами первичного заряда и т. д. для наиболее эффективного использования формулировок в дальнейшем.",,,,,,,,,,,,,,,,,,,,,,,,,,,Булат,,,black (черный),,,,http://www.bulatgroup.ru,,,7200,TK1140,,,,,,TK1140 с чипом,"Kyocera FS1035mfp, FS1135mfp, M2035dn, M2535dn",,,,,,,,,,,,,,,,,,,
400000030584,"Картридж для лазерного принтера оригинальный  HP 128A, черный (black)",,,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,"0, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000031596,"Картридж оригинал. Xerox (Fujifilm) 006R01561/CT202207, для ч/б лазерных принтеров D95/D125, черный (black), 65000стр A4",,,0,0,7180.0,7179.99,"Xerox D95, D110, D125, D136Внимание, для работы картриджа на Xerox D136 требуется заменачипа!",Картридж,оригинальный,не предусмотрено,CT202207,006R01561,CT202207,"CT201777, CT201801, CT202112",65000,Xerox (Fujifilm),черный (black),для ч/б лазерных принтеров,"Xerox D95, D110, D125, D136",1560,Япония,D95/D125,Xerox D95/D110/D125,"2760, грамм",10 месяцев,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000032150,"Печка (Fusing Unit) оригинал. для Xerox (Fujifilm) C550/C70, 008R13059/126K29617",,,4,0,36900.0,36899.99,"Xerox Color C550, C560, C570; C60, C70; Digital Color Press DC700, DC700i, DC770; PrimeLink C9065, C9070",Печка,оригинальный,,,,,"641S00649, 126K25130, 126K29615, 126K29616, 655N50028, 544P24436, 008R13065, 641S01093, 622S00915",200000,Xerox (Fujifilm),,,"Xerox Color C550, C560, C570; C60, C70; Digital Color Press DC700, DC700i, DC770; PrimeLink C9065, C9070",,,C550/C70,Xerox Color Colour C 550 560 570 C550 C560 C570; C 60 70 C60 C70; Digital Color Press DC 700 700i 770 DC700 700i 770 i; PrimeLink Prime Link C 9065 9070 C9065 C9070,"5800, грамм",Гарантия на данный товар не предоставляется,,,не предусмотрено,не предусмотрено,,,,,,,,,,,,,,,,,Fusing Unit,008R13059/126K29617,Закрепление изображения,Печка,,,,,,,,,,,,,,,,,,,,,,
400000026217,"Картридж совместимый для ч/б лазерных принтеров HP, RTC CF244A, черный (black), с чипом, 1000стр A4, Булат 7Q",,,1,0,523.37,568.89,"Черный тонер-картридж для принтеров HP LaserJet M15, M28 заменяющий оригинальные картриджи CF244A. Тонеры компании Булат для картриджей лазерных принтеров производятся из современного сырья. Это полимеры, применение которых позволяет использовать тонеры в тонер-картриджах для новых скоростных принтеров и копиров. Это магнетиты и зарядорегуляторы, позволяющие получать стабильные результаты качества печати. Все это, плюс технологические приемы, направленные на улучшение структуры и формы частиц тонера, позволяют получить продукт стабильного качества. Все стадии производства тонеров проходят жесткий технологический контроль, готовый продукт всесторонне тестируется. Более 20 параметров подлежат проверке. Компания Булат проводит исследование тонеров во взаимодействии с другими расходными материалами: фотобарабанами, валами первичного заряда и т. д. для наиболее эффективного использования формулировок в дальнейшем.",Картридж совместимый,,RTC CF244A,,,,,1000,Булат 7Q,черный (black),для ч/б лазерных принтеров HP,,,,"HP LaserJet M15, M28",,"615, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,http://www.bulatgroup.ru,с чипом,CF244A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000026799,"Картридж 006R01278, black (черный), для лазерного принтера Xerox WC 4118",,,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,"0, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000031102,"Картридж оригинал. Xerox 006R01483/CT201531, для цветных лазерных принтеров Color 800/1000, желтый (yellow), 55000стр A4",,,2,0,12780.0,12779.99,"Xerox Color 800, 800i, Color 1000, 1000i Press",Картридж,оригинальный,не предусмотрено,006R01478,006R01483,CT201531,"006R01473, CT201906, CT201377",55000,Xerox,желтый (yellow),для цветных лазерных принтеров,"Xerox Color 800, 800i, Color 1000, 1000i Press",1840,США,Color 800/1000,Xerox Color 800 800i Color 1000 1000i C800 C800i C1000 C1000i Press пресс колор калор калэр ксерокс DCP тонер туба replenisher краска,"2700, грамм",10 месяцев,,,,,,,,,,,,,,,,,,,,,,,,,нет данных,,,,,,,,,,,,,,,,,,,,,
400000030470,"Картридж для лазерного принтера оригинальный  Xerox 106R02182, черный (black)",,,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,"0, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200000001141,"Картридж 113R00667 Black (черный) для лазерных принтеров лазерного МФУ Xerox PE16, 3000 стр.,произв. Xerox",,,0,0,2892.72,2734.14,,,,,,,,,,,,,,,,,,"0, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000032260,"Печка (Fusing Unit) оригинал. для Konica Minolta C558/C658, A79JR71099",,,2,0,63900.0,63900.0,,Печка,оригинальный,,,,,"A79JR71066, A79JR71088, A79JR71099",1200000,Konica Minolta,,,"Konica Minolta Bizhub C558, C658; 558, 558e, 658e",,,C558/C658,"Konica Minolta Bizhub C558, C658; 558, 558e, 658e","5400, грамм",Гарантия на данный товар не предоставляется,,,не предусмотрено,не предусмотрено,,,,,,,,,,,,,,,,,Fusing Unit,A79JR71099,Закрепление изображения,Печка,,,,,,,,,,,,,,,,,,,,,,
400000016907,"Чип тонер-картриджа  совместим. для лазерных принтеров HP CF211A/CB541A/CC531A/CE321A/CE411A/CF381A/CE401A/CF351A/CE341A/CE261A/CE741A/CE311A/CE251A Canon 716/722/723/729/732 (BUHPLJM251130), голубой (cyan), Китай",,,0,0,33.75,36.68,"Чип универсальный для HP LaserJet Pro 200 M251, MFP M276, M452, M476, M477, M551, MFP M575, CP1215, CM1312 mfp, CP1515n, CP1518n, CP2025, CM2320mfp, CM1415, CP1525, MFP M176, MFP M177, MFP M775, CP4025, CP4525, CP5525, CP5225, CP1025, CP3525, CM3530, Canon LBP5050, MF8030C, 8040C, 8050C, 8080C, LBP7750C, LBP7010C, LBP7780C и картриджей HP CF211A, CB541A, CC531A, CE321A, CE411A, CF381A, CE401A, CF351A, CE341A, CE261A, CE741A, CE311A, CE251A, Canon 716, 722, 723, 729, 732. Чип для лазерного картриджа — микросхема памяти, на которой записаны характеристики картриджа. Количество израсходованного тонера, подсчитанное чипом, лишь приблизительно и на момент когда, согласно подсчету, тонер израсходован и печать блокируется, картридж содержит еще около 30% тонера. Таким образом, замена чипа позволяет значительно сэкономить на расходных материалах лазерного принтера.Чип для принтеров HP Color LJ CP1210, CP1215, CP1217, CP1510, CP1515, CP1518, CM1312, CM2320, CP2020, CP2025, CM3530, CP3525, CM4540, CP4025, CP4525, CP5525, M750, CP1012, CP1020, CP1025, M175, M275, CM1415, CP1525, M775, M551, M575, M570, M351, M357, M375, M451, M475, CP5225, M251, M276, M176, M177, M476, Canon LBP5050, MF8030, MF8040, MF8050, MF8080, LBP9100, LBP7750, LBP7010C, LBP7018C, LBP7780, LBP7100, LBP7110, MF623, MF628, MF8230, MF8280, LBP7200",,,,,,,,,,,,,,,,,,,,,,,,HP CB541A,"HP CLJ CP1215, 1515, 2025",,Tonex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000030405,"Картридж для лазерного принтера оригинальный  Kyocera TK-1120, черный (black)",,,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,"238, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000024172,"Фотобарабан для Samsung ML2950, ML3310, ML3710, ML3710, SCX4720, SCX4833, SCX4833, SCX5637, Xerox WorkCentre 3315, 3325, Phaser 3320, (картриджи Samsung MLT-D205L, MLT-D103S, Xerox 106R02308, 106R02312, 106R02306), произв. SGT",,,0,0,75.67,82.25,"Фотобарабан для лазерных принтеров Samsung ML2950, ML3310, ML3710, ML3710, SCX4720, SCX4833, SCX4833, SCX5637, Xerox WorkCentre 3315, 3325, Phaser 3320 и картриджей Samsung MLT-D205L, MLT-D103S, Xerox 106R02308, 106R02312, 106R02306.Фотобарабан состоит из металлического цилиндра, на который нанесен фотослой. Фотобарабаны различаются размерами и формой шестерен, обеспечивающих его вращение. На фотобарабане лазер принтера засвечивает области, на которые магнитному валу необходимо нанести тонер. Срок службы фотобарабана зависит от используемых тонера и бумаги.",,,,,,,,,,,,,,,,,,,,,,,,"Samsung MLT-D205L, MLT-D103S, Xerox 106R02308, 106R02312, 106R02306","Samsung ML2950, ML3310, ML3710, ML3710, SCX4720, SCX4833, SCX4833, SCX5637, Xerox WorkCentre 3315, 3325, Phaser 3320",,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000027327,Картридж для Lexmark 10S0150,,,0,0,0.0,0.0,,Картридж совместимый,,Lexmark 10S0150,,,,,2000,,черный (black),,,,,Lexmark Optra E210,,"1045, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,с чипом,10S0150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000030505,"Картридж для лазерного принтера оригинальный  Brother TN-2235, черный (black)",,,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,"0, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
