printer_id,cartridges,parts
400000032659,,"400000030894,400000032570,400000031427,400000030896,400000030897,400000016173"
400000029751,,400000030638
400000028459,,400000002831
400000029995,200000001638,
400000033412,,400000030896
400000027804,,"400000026157,400000022933,400000011107,400000015427"
400000026581,,400000030165
400000033428,,400000030896
400000029496,,"400000030635,400000027144"
400000032669,,"400000032570,400000030897,400000030894"
400000033155,,"400000031838,400000032581,400000032121,400000032516,400000032577,400000032104"
400000032401,"400000031438,400000031935,400000032976,400000031442,400000031439,400000031444,400000031440,400000032977,400000031441,400000031437,400000031443,400000032975,400000032348,400000032974","400000031837,400000032581,400000031840,400000031575,400000031974,400000031971,400000031844,400000032104,400000031836,400000032108,400000031838,400000032003,400000032557,400000031841,400000032873,400000031842,400000031843,400000031940,400000033704,400000031972,400000033573,400000032577,400000031839,400000032002,400000032516,400000032874,400000031973,400000032576,400000032150,400000032872,400000031576,400000032121,400000032875,400000031975,400000032151,400000031574"
400000028950,400000028961,400000025926
400000026585,400000026587,
400000028960,400000028961,400000025926
400000032364,,"400000032570,400000031613,400000031087,400000031615,400000030894,400000031676,400000031674,400000031684,400000030896,400000021871,400000030947,400000031427,400000031675,400000032569,400000032568"
400000030701,"400000024114,400000033198,400000033200,400000033201,400000024050,400000031401,400000024116,400000024115,400000031399,400000033199,400000031458,400000031400","400000033346,400000033187,400000031431,400000031615,400000030671,400000030673,400000031871,400000033185,400000033182,400000031931,400000030974,400000033191,400000031115,400000033241,400000030975,400000033720,400000033186"
400000031043,,"400000030894,400000032570,400000030896,400000030895,400000031615"
400000032442,,"400000033346,400000031803,400000033187,400000031431,400000030671,400000030673,400000031871,400000033185,400000031931,400000031934,400000032978,400000033191,400000031115,400000031823,400000033720,400000033186"
400000033272,,400000033194
400000026595,400000015579,"400000009850,400000030017,400000030314,400000014883,400000030165,400000021698,400000030021,400000012999,400000022453"
400000027798,"400000032753,400000032752,400000032755,400000032754","400000015427,400000022933,400000030612"
400000026227,400000019123,"400000022503,400000024601"
400000028692,400000018144,"400000016908,400000026157,400000022933,400000015427"
400000029769,"400000030269,400000023506",
400000028742,"400000016596,400000016081,400000016957,400000016080,400000025604","400000016908,400000026157,400000022933,400000015427"
400000026838,400000015226,"400000030638,400000027147,400000021245"
400000032381,,"400000032570,400000031611,400000031615,400000030894,400000031222,400000030946,400000030896,400000030897,400000030945,400000016173,400000021871,400000032500,400000031427,400000031920,400000032569,400000032568"
400000028765,,"400000026157,400000022933"
400000032630,,"400000031922,400000030894,400000031427,400000030897,400000031104,400000021871"
400000026885,,"400000015222,400000021215"
400000031042,,"400000030894,400000032570,400000030896,400000030895,400000031615"
400000026534,400000018130,"400000021214,400000002831"
400000026400,400000012992,"400000021214,400000002831"
400000026878,,400000021245
400000026218,400000019401,400000023832
400000026891,,400000021215
400000027266,400000018695,400000023678
400000028873,400000022914,400000016877
400000026506,,400000020431
400000032415,,"400000031932,400000031868,400000031866,400000031615,400000032908"
400000033755,400000033642,400000032005
400000026659,400000012655,"200000001644,400000022273"
400000026391,,"400000033097,400000002831,400000011759"
400000026249,,"400000024174,400000024601"
400000026614,"400000013848,400000026130,400000015579","400000009850,400000030017,400000030314,400000014883,400000030165,400000030021,400000012999"
400000026230,400000019123,"400000030646,400000024601,400000022503"
400000026981,400000020132,400000022278
400000032356,"400000032831,400000024198,400000032833,400000032832","400000033240,400000030973,400000033728,400000030972,400000031516,400000031346,400000033180,400000033732,400000031422,400000033632,400000033702,400000033703,400000032259,400000031420,400000031615,400000031871,400000033722,400000031471,400000033182,400000033633,400000031518,400000032870,400000031931,400000033636,400000033721,400000033184,400000031929,400000031115,400000031470,400000033720,400000033713,400000031802,400000031515,400000033635,400000033181,400000033723"
400000033455,,400000030896
400000033819,,"400000031931,400000033186"
400000028716,,"400000022933,400000002802"
400000032421,400000024192,"400000031932,400000031868,400000031867,400000032908"
400000029052,,400000027143
400000026905,,400000022448
400000028868,400000014788,400000016877
400000026252,,400000024174
400000028963,400000028961,400000025926
400000026732,,"400000025156,400000021215"
400000033765,"400000033709,400000033710,400000033711,400000033712",400000033714
